Trial,Subject,Condition,Partner,ChoiceType,ChoiceRT,Outcome,PartnerChoice,PreviousPlayerChoice,PreviousPartnerCHoice,Previous Outcome,First Partner within Session,SessionOrder1,SessionOrder2
1,104,SR,PRO,0,3979,3,0,NaN,NaN,NaN,ANTI,2,SD
2,104,SR,PRO,0,731,3,0,0,0,3,ANTI,2,SD
3,104,SR,PRO,0,525,3,0,0,0,3,ANTI,2,SD
4,104,SR,PRO,1,485,1,0,0,0,3,ANTI,2,SD
5,104,SR,PRO,1,3602,1,0,1,0,1,ANTI,2,SD
6,104,SR,PRO,0,929,4,1,1,0,1,ANTI,2,SD
7,104,SR,PRO,1,1077,1,0,0,1,4,ANTI,2,SD
8,104,SR,PRO,0,903,3,0,1,0,1,ANTI,2,SD
9,104,SR,PRO,1,546,1,0,0,0,3,ANTI,2,SD
10,104,SR,PRO,0,1929,4,1,1,0,1,ANTI,2,SD
11,104,SR,PRO,1,459,1,0,0,1,4,ANTI,2,SD
12,104,SR,PRO,0,610,3,0,1,0,1,ANTI,2,SD
13,104,SR,PRO,0,4241,3,0,0,0,3,ANTI,2,SD
14,104,SR,PRO,1,751,1,0,0,0,3,ANTI,2,SD
15,104,SR,PRO,0,934,4,1,1,0,1,ANTI,2,SD
16,104,SR,PRO,1,1625,1,0,0,1,4,ANTI,2,SD
1,104,SR,ANTI,1,5819,2,0,NaN,NaN,NaN,ANTI,2,SD
2,104,SR,ANTI,1,1390,1,1,1,0,2,ANTI,2,SD
3,104,SR,ANTI,1,4606,1,0,1,1,1,ANTI,2,SD
4,104,SR,ANTI,1,882,2,1,1,0,1,ANTI,2,SD
5,104,SR,ANTI,1,658,2,1,1,1,2,ANTI,2,SD
6,104,SR,ANTI,1,1210,2,1,1,1,2,ANTI,2,SD
7,104,SR,ANTI,1,1430,2,1,1,1,2,ANTI,2,SD
8,104,SR,ANTI,0,976,4,0,1,1,2,ANTI,2,SD
9,104,SR,ANTI,0,746,3,1,0,0,4,ANTI,2,SD
10,104,SR,ANTI,1,526,1,1,0,1,3,ANTI,2,SD
11,104,SR,ANTI,1,682,1,0,1,1,1,ANTI,2,SD
12,104,SR,ANTI,1,704,2,0,1,0,1,ANTI,2,SD
13,104,SR,ANTI,0,366,3,0,1,0,2,ANTI,2,SD
14,104,SR,ANTI,1,3212,1,1,0,0,3,ANTI,2,SD
15,104,SR,ANTI,1,743,2,1,1,1,1,ANTI,2,SD
16,104,SR,ANTI,0,673,4,1,1,1,2,ANTI,2,SD
1,104,SD,PRO,0,3869,1,0,NaN,NaN,NaN,PRO,2,SD
2,104,SD,PRO,1,1796,1,0,0,0,1,PRO,2,SD
3,104,SD,PRO,1,1154,1,0,1,0,1,PRO,2,SD
4,104,SD,PRO,1,1079,1,0,1,0,1,PRO,2,SD
5,104,SD,PRO,1,872,1,0,1,0,1,PRO,2,SD
6,104,SD,PRO,1,2046,1,0,1,0,1,PRO,2,SD
7,104,SD,PRO,0,2803,3,0,1,0,1,PRO,2,SD
8,104,SD,PRO,1,3813,3,0,0,0,3,PRO,2,SD
9,104,SD,PRO,1,867,4,1,1,0,3,PRO,2,SD
10,104,SD,PRO,1,657,1,0,1,1,4,PRO,2,SD
11,104,SD,PRO,1,820,3,0,1,0,1,PRO,2,SD
12,104,SD,PRO,1,1145,4,1,1,0,3,PRO,2,SD
13,104,SD,PRO,1,777,1,0,1,1,4,PRO,2,SD
14,104,SD,PRO,1,747,3,0,1,0,1,PRO,2,SD
15,104,SD,PRO,1,2558,1,0,1,0,3,PRO,2,SD
16,104,SD,PRO,1,518,3,0,1,0,1,PRO,2,SD
1,104,SD,ANTI,0,1726,2,1,NaN,NaN,NaN,PRO,2,SD
2,104,SD,ANTI,1,1385,3,0,0,1,2,PRO,2,SD
3,104,SD,ANTI,0,389,2,0,1,0,3,PRO,2,SD
4,104,SD,ANTI,0,2453,1,1,0,0,2,PRO,2,SD
5,104,SD,ANTI,1,868,3,1,0,1,1,PRO,2,SD
6,104,SD,ANTI,0,2054,1,1,1,1,3,PRO,2,SD
7,104,SD,ANTI,1,738,3,1,0,1,1,PRO,2,SD
8,104,SD,ANTI,0,2301,2,1,1,1,3,PRO,2,SD
9,104,SD,ANTI,1,763,3,0,0,1,2,PRO,2,SD
10,104,SD,ANTI,1,636,3,0,1,0,3,PRO,2,SD
11,104,SD,ANTI,1,0,4,0,1,0,3,PRO,2,SD
12,104,SD,ANTI,1,762,4,1,1,0,4,PRO,2,SD
13,104,SD,ANTI,0,560,2,0,1,1,4,PRO,2,SD
14,104,SD,ANTI,0,4727,1,0,0,0,2,PRO,2,SD
15,104,SD,ANTI,1,0,3,1,0,0,1,PRO,2,SD
16,104,SD,ANTI,1,0,3,1,1,1,3,PRO,2,SD
1,105,SR,PRO,1,1518,1,0,NaN,NaN,NaN,ANTI,2,SD
2,105,SR,PRO,0,2299,3,0,1,0,1,ANTI,2,SD
3,105,SR,PRO,1,524,1,0,0,0,3,ANTI,2,SD
4,105,SR,PRO,1,855,1,0,1,0,1,ANTI,2,SD
5,105,SR,PRO,1,797,2,1,1,0,1,ANTI,2,SD
6,105,SR,PRO,1,2227,1,0,1,1,2,ANTI,2,SD
7,105,SR,PRO,1,1061,1,0,1,0,1,ANTI,2,SD
8,105,SR,PRO,1,1337,2,1,1,0,1,ANTI,2,SD
9,105,SR,PRO,1,1458,2,1,1,1,2,ANTI,2,SD
10,105,SR,PRO,0,2023,4,1,1,1,2,ANTI,2,SD
11,105,SR,PRO,1,541,1,0,0,1,4,ANTI,2,SD
12,105,SR,PRO,1,761,1,0,1,0,1,ANTI,2,SD
13,105,SR,PRO,1,884,2,1,1,0,1,ANTI,2,SD
14,105,SR,PRO,1,536,1,0,1,1,2,ANTI,2,SD
15,105,SR,PRO,1,498,2,1,1,0,1,ANTI,2,SD
16,105,SR,PRO,0,670,3,0,1,1,2,ANTI,2,SD
1,105,SR,ANTI,1,1031,2,1,NaN,NaN,NaN,ANTI,2,SD
2,105,SR,ANTI,1,624,2,1,1,1,2,ANTI,2,SD
3,105,SR,ANTI,1,720,2,1,1,1,2,ANTI,2,SD
4,105,SR,ANTI,1,373,2,1,1,1,2,ANTI,2,SD
5,105,SR,ANTI,1,1610,2,1,1,1,2,ANTI,2,SD
6,105,SR,ANTI,1,632,2,1,1,1,2,ANTI,2,SD
7,105,SR,ANTI,1,685,1,0,1,1,2,ANTI,2,SD
8,105,SR,ANTI,0,1186,4,1,1,0,1,ANTI,2,SD
9,105,SR,ANTI,1,791,1,0,0,1,4,ANTI,2,SD
10,105,SR,ANTI,1,786,2,1,1,0,1,ANTI,2,SD
11,105,SR,ANTI,1,631,2,1,1,1,2,ANTI,2,SD
12,105,SR,ANTI,1,689,1,0,1,1,2,ANTI,2,SD
13,105,SR,ANTI,1,824,2,1,1,0,1,ANTI,2,SD
14,105,SR,ANTI,1,645,2,1,1,1,2,ANTI,2,SD
15,105,SR,ANTI,1,717,1,0,1,1,2,ANTI,2,SD
16,105,SR,ANTI,1,1108,2,1,1,0,1,ANTI,2,SD
1,105,SD,PRO,0,2182,3,0,NaN,NaN,NaN,PRO,2,SD
2,105,SD,PRO,1,5226,1,0,0,0,3,PRO,2,SD
3,105,SD,PRO,1,2917,1,0,1,0,1,PRO,2,SD
4,105,SD,PRO,1,1647,2,1,1,0,1,PRO,2,SD
5,105,SD,PRO,1,0,1,0,1,1,2,PRO,2,SD
6,105,SD,PRO,1,1822,2,1,1,0,1,PRO,2,SD
7,105,SD,PRO,0,3656,4,1,1,1,2,PRO,2,SD
8,105,SD,PRO,1,0,1,0,0,1,4,PRO,2,SD
9,105,SD,PRO,1,1840,2,1,1,0,1,PRO,2,SD
10,105,SD,PRO,1,2555,1,0,1,1,2,PRO,2,SD
11,105,SD,PRO,1,0,1,0,1,0,1,PRO,2,SD
12,105,SD,PRO,1,0,2,1,1,0,1,PRO,2,SD
13,105,SD,PRO,1,4770,1,0,1,1,2,PRO,2,SD
14,105,SD,PRO,1,1448,1,0,1,0,1,PRO,2,SD
15,105,SD,PRO,1,0,2,1,1,0,1,PRO,2,SD
16,105,SD,PRO,1,0,2,1,1,1,2,PRO,2,SD
1,105,SD,ANTI,0,2939,4,1,NaN,NaN,NaN,PRO,2,SD
2,105,SD,ANTI,1,3785,2,1,0,1,4,PRO,2,SD
3,105,SD,ANTI,1,2642,2,1,1,1,2,PRO,2,SD
4,105,SD,ANTI,1,1259,1,0,1,1,2,PRO,2,SD
5,105,SD,ANTI,1,2703,2,1,1,0,1,PRO,2,SD
6,105,SD,ANTI,0,1494,3,0,1,1,2,PRO,2,SD
7,105,SD,ANTI,0,1854,3,0,0,0,3,PRO,2,SD
8,105,SD,ANTI,1,890,1,0,0,0,3,PRO,2,SD
9,105,SD,ANTI,1,995,2,1,1,0,1,PRO,2,SD
10,105,SD,ANTI,1,1017,2,1,1,1,2,PRO,2,SD
11,105,SD,ANTI,0,1060,4,1,1,1,2,PRO,2,SD
12,105,SD,ANTI,0,1498,3,0,0,1,4,PRO,2,SD
13,105,SD,ANTI,0,1055,3,0,0,0,3,PRO,2,SD
14,105,SD,ANTI,1,1143,1,0,0,0,3,PRO,2,SD
15,105,SD,ANTI,0,1717,3,0,1,0,1,PRO,2,SD
16,105,SD,ANTI,1,958,1,0,0,0,3,PRO,2,SD
1,106,SR,PRO,1,3496,1,0,NaN,NaN,NaN,ANTI,2,SD
2,106,SR,PRO,1,969,1,0,1,0,1,ANTI,2,SD
3,106,SR,PRO,1,4932,2,1,1,0,1,ANTI,2,SD
4,106,SR,PRO,0,3157,3,0,1,1,2,ANTI,2,SD
5,106,SR,PRO,0,690,3,0,0,0,3,ANTI,2,SD
6,106,SR,PRO,0,541,3,0,0,0,3,ANTI,2,SD
7,106,SR,PRO,0,1363,3,0,0,0,3,ANTI,2,SD
8,106,SR,PRO,0,329,3,0,0,0,3,ANTI,2,SD
9,106,SR,PRO,0,202,3,0,0,0,3,ANTI,2,SD
10,106,SR,PRO,1,818,1,0,0,0,3,ANTI,2,SD
11,106,SR,PRO,1,728,1,0,1,0,1,ANTI,2,SD
12,106,SR,PRO,1,2137,2,1,1,0,1,ANTI,2,SD
13,106,SR,PRO,0,786,3,0,1,1,2,ANTI,2,SD
14,106,SR,PRO,1,676,1,0,0,0,3,ANTI,2,SD
15,106,SR,PRO,1,452,1,0,1,0,1,ANTI,2,SD
16,106,SR,PRO,1,433,2,1,1,0,1,ANTI,2,SD
1,106,SR,ANTI,0,967,4,1,NaN,NaN,NaN,ANTI,2,SD
2,106,SR,ANTI,1,1652,2,1,0,1,4,ANTI,2,SD
3,106,SR,ANTI,1,547,2,1,1,1,2,ANTI,2,SD
4,106,SR,ANTI,1,522,1,0,1,1,2,ANTI,2,SD
5,106,SR,ANTI,1,2188,2,1,1,0,1,ANTI,2,SD
6,106,SR,ANTI,1,5229,2,1,1,1,2,ANTI,2,SD
7,106,SR,ANTI,1,829,2,1,1,1,2,ANTI,2,SD
8,106,SR,ANTI,0,490,4,1,1,1,2,ANTI,2,SD
9,106,SR,ANTI,1,408,1,0,0,1,4,ANTI,2,SD
10,106,SR,ANTI,1,454,2,1,1,0,1,ANTI,2,SD
11,106,SR,ANTI,1,568,2,1,1,1,2,ANTI,2,SD
12,106,SR,ANTI,1,316,2,1,1,1,2,ANTI,2,SD
13,106,SR,ANTI,1,301,1,0,1,1,2,ANTI,2,SD
14,106,SR,ANTI,1,391,2,1,1,0,1,ANTI,2,SD
15,106,SR,ANTI,0,2212,3,0,1,1,2,ANTI,2,SD
16,106,SR,ANTI,0,586,3,0,0,0,3,ANTI,2,SD
1,106,SD,PRO,1,0,1,0,NaN,NaN,NaN,PRO,2,SD
2,106,SD,PRO,1,2745,1,0,1,0,1,PRO,2,SD
3,106,SD,PRO,1,4775,2,1,1,0,1,PRO,2,SD
4,106,SD,PRO,1,808,2,1,1,1,2,PRO,2,SD
5,106,SD,PRO,0,452,4,1,1,1,2,PRO,2,SD
6,106,SD,PRO,0,341,3,0,0,1,4,PRO,2,SD
7,106,SD,PRO,0,377,3,0,0,0,3,PRO,2,SD
8,106,SD,PRO,0,3999,3,0,0,0,3,PRO,2,SD
9,106,SD,PRO,0,2038,3,0,0,0,3,PRO,2,SD
10,106,SD,PRO,0,406,3,0,0,0,3,PRO,2,SD
11,106,SD,PRO,0,2045,3,0,0,0,3,PRO,2,SD
12,106,SD,PRO,0,2580,3,0,0,0,3,PRO,2,SD
13,106,SD,PRO,0,2725,3,0,0,0,3,PRO,2,SD
14,106,SD,PRO,0,5139,3,0,0,0,3,PRO,2,SD
15,106,SD,PRO,0,626,3,0,0,0,3,PRO,2,SD
16,106,SD,PRO,0,2253,3,0,0,0,3,PRO,2,SD
1,106,SD,ANTI,0,2447,4,1,NaN,NaN,NaN,PRO,2,SD
2,106,SD,ANTI,1,5632,2,1,0,1,4,PRO,2,SD
3,106,SD,ANTI,1,1701,2,1,1,1,2,PRO,2,SD
4,106,SD,ANTI,1,606,1,0,1,1,2,PRO,2,SD
5,106,SD,ANTI,1,2770,1,0,1,0,1,PRO,2,SD
6,106,SD,ANTI,1,1103,2,1,1,0,1,PRO,2,SD
7,106,SD,ANTI,0,3156,4,1,1,1,2,PRO,2,SD
8,106,SD,ANTI,0,577,3,0,0,1,4,PRO,2,SD
9,106,SD,ANTI,0,1016,3,0,0,0,3,PRO,2,SD
10,106,SD,ANTI,0,536,3,0,0,0,3,PRO,2,SD
11,106,SD,ANTI,0,784,3,0,0,0,3,PRO,2,SD
12,106,SD,ANTI,0,1447,3,0,0,0,3,PRO,2,SD
13,106,SD,ANTI,0,1336,3,0,0,0,3,PRO,2,SD
14,106,SD,ANTI,0,521,3,0,0,0,3,PRO,2,SD
15,106,SD,ANTI,0,719,3,0,0,0,3,PRO,2,SD
16,106,SD,ANTI,0,1591,3,0,0,0,3,PRO,2,SD
1,107,SR,PRO,1,2021,1,0,NaN,NaN,NaN,ANTI,2,SD
2,107,SR,PRO,1,2478,1,0,1,0,1,ANTI,2,SD
3,107,SR,PRO,0,1441,4,1,1,0,1,ANTI,2,SD
4,107,SR,PRO,1,2021,1,0,0,1,4,ANTI,2,SD
5,107,SR,PRO,0,425,3,0,1,0,1,ANTI,2,SD
6,107,SR,PRO,0,655,3,0,0,0,3,ANTI,2,SD
7,107,SR,PRO,0,254,3,0,0,0,3,ANTI,2,SD
8,107,SR,PRO,0,276,3,0,0,0,3,ANTI,2,SD
9,107,SR,PRO,0,681,3,0,0,0,3,ANTI,2,SD
10,107,SR,PRO,0,330,3,0,0,0,3,ANTI,2,SD
11,107,SR,PRO,0,264,3,0,0,0,3,ANTI,2,SD
12,107,SR,PRO,0,765,3,0,0,0,3,ANTI,2,SD
13,107,SR,PRO,0,449,3,0,0,0,3,ANTI,2,SD
14,107,SR,PRO,0,1889,3,0,0,0,3,ANTI,2,SD
15,107,SR,PRO,0,793,3,0,0,0,3,ANTI,2,SD
16,107,SR,PRO,0,299,3,0,0,0,3,ANTI,2,SD
1,107,SR,ANTI,0,1208,4,1,NaN,NaN,NaN,ANTI,2,SD
2,107,SR,ANTI,0,343,3,0,0,1,4,ANTI,2,SD
3,107,SR,ANTI,0,369,3,0,0,0,3,ANTI,2,SD
4,107,SR,ANTI,0,478,3,0,0,0,3,ANTI,2,SD
5,107,SR,ANTI,0,3267,3,0,0,0,3,ANTI,2,SD
6,107,SR,ANTI,0,859,3,0,0,0,3,ANTI,2,SD
7,107,SR,ANTI,0,428,3,0,0,0,3,ANTI,2,SD
8,107,SR,ANTI,0,352,3,0,0,0,3,ANTI,2,SD
9,107,SR,ANTI,0,798,3,0,0,0,3,ANTI,2,SD
10,107,SR,ANTI,0,1281,3,0,0,0,3,ANTI,2,SD
11,107,SR,ANTI,0,499,3,0,0,0,3,ANTI,2,SD
12,107,SR,ANTI,0,782,3,0,0,0,3,ANTI,2,SD
13,107,SR,ANTI,0,890,3,0,0,0,3,ANTI,2,SD
14,107,SR,ANTI,0,881,3,0,0,0,3,ANTI,2,SD
15,107,SR,ANTI,0,1181,3,0,0,0,3,ANTI,2,SD
16,107,SR,ANTI,0,768,3,0,0,0,3,ANTI,2,SD
1,107,SD,PRO,0,4384,3,0,NaN,NaN,NaN,PRO,2,SD
2,107,SD,PRO,1,4586,1,0,0,0,3,PRO,2,SD
3,107,SD,PRO,0,2738,3,0,1,0,1,PRO,2,SD
4,107,SD,PRO,1,4987,1,0,0,0,3,PRO,2,SD
5,107,SD,PRO,0,1848,3,0,1,0,1,PRO,2,SD
6,107,SD,PRO,0,3061,3,0,0,0,3,PRO,2,SD
7,107,SD,PRO,1,3723,1,0,0,0,3,PRO,2,SD
8,107,SD,PRO,1,718,1,0,1,0,1,PRO,2,SD
9,107,SD,PRO,1,3178,2,1,1,0,1,PRO,2,SD
10,107,SD,PRO,1,1553,1,0,1,1,2,PRO,2,SD
11,107,SD,PRO,0,1365,4,1,1,0,1,PRO,2,SD
12,107,SD,PRO,1,2878,1,0,0,1,4,PRO,2,SD
13,107,SD,PRO,1,1255,1,0,1,0,1,PRO,2,SD
14,107,SD,PRO,0,1836,4,1,1,0,1,PRO,2,SD
15,107,SD,PRO,0,495,3,0,0,1,4,PRO,2,SD
16,107,SD,PRO,1,631,1,0,0,0,3,PRO,2,SD
1,107,SD,ANTI,1,3839,2,1,NaN,NaN,NaN,PRO,2,SD
2,107,SD,ANTI,1,4018,2,1,1,1,2,PRO,2,SD
3,107,SD,ANTI,1,4218,2,1,1,1,2,PRO,2,SD
4,107,SD,ANTI,0,3771,4,1,1,1,2,PRO,2,SD
5,107,SD,ANTI,0,2102,3,0,0,1,4,PRO,2,SD
6,107,SD,ANTI,0,2901,3,0,0,0,3,PRO,2,SD
7,107,SD,ANTI,0,996,3,0,0,0,3,PRO,2,SD
8,107,SD,ANTI,1,823,1,0,0,0,3,PRO,2,SD
9,107,SD,ANTI,1,2233,1,0,1,0,1,PRO,2,SD
10,107,SD,ANTI,0,2419,4,1,1,0,1,PRO,2,SD
11,107,SD,ANTI,0,2961,3,0,0,1,4,PRO,2,SD
12,107,SD,ANTI,1,2709,1,0,0,0,3,PRO,2,SD
13,107,SD,ANTI,0,1150,4,1,1,0,1,PRO,2,SD
14,107,SD,ANTI,0,2801,3,0,0,1,4,PRO,2,SD
15,107,SD,ANTI,0,3425,3,0,0,0,3,PRO,2,SD
16,107,SD,ANTI,0,1689,1,0,0,0,3,PRO,2,SD
